"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C9","CAPC1608X90X40LL10T20","122.3mm","143.2mm","122.3mm","143.2mm","122.3mm","143.775mm","T","270.00","Yageo CC0603JRNPO9BN220"
"C2","CAPC1608X90X35NL10T15","136.1mm","106.2mm","136.1mm","106.2mm","136.1mm","106.925mm","T","270.00","10uF"
"C3","PCB-qvlngtyez2s0wsk0mwzb-1","126.7mm","106.6mm","126.7mm","106.6mm","127.45mm","106.6mm","T","180.00","AVX 06034D226MAT2A"
"R2","RESC1608X55X25ML10T15","127.2mm","102.9mm","127.2mm","102.9mm","127.95mm","102.9mm","T","180.00","RC0603FR-0749K9L"
"R3","RESC1608X55X30LL15T15","127.2mm","101.5mm","127.2mm","101.5mm","126.575mm","101.5mm","T","360.00","Panasonic ERJ-3EKF1272V"
"C1","CAPC1608X90X35LL15T15","129.5mm","106.6mm","129.5mm","106.6mm","130.15mm","106.6mm","T","180.00","10nF"
"U2","PCB-490lklzcj1lpwgyufll7-1","121.25mm","127.5mm","121.25mm","127.5mm","113.4mm","133.55mm","T","360.00","Simcom SIM868"
"C7","PCB-mhhqftc5ilnrg4qi8ds6-1","134.5mm","134.8mm","134.5mm","134.8mm","135.2mm","134.8mm","T","180.00","100nF"
"C5","PCB-mhhqftc5ilnrg4qi8ds6-1","109.7mm","136.3mm","109.7mm","136.3mm","109mm","136.3mm","T","360.00","100nF"
"C8","PCB-mhhqftc5ilnrg4qi8ds6-1","124.5mm","139.1mm","124.5mm","139.1mm","124.5mm","139.8mm","T","270.00","100nF"
"C6","PCB-mhhqftc5ilnrg4qi8ds6-1","134.5mm","132.8mm","134.5mm","132.8mm","135.2mm","132.8mm","T","180.00","100nF"
"C4","PCB-mhhqftc5ilnrg4qi8ds6-1","109.7mm","134.8mm","109.7mm","134.8mm","109mm","134.8mm","T","360.00","100nF"
"C11","CAPC1608X90X40LL10T20","120.2mm","143.2mm","120.2mm","143.2mm","120.2mm","143.775mm","T","270.00","Yageo CC0603JRNPO9BN220"
"C12","CAPC1608X90X40LL10T20","118.1mm","143.2mm","118.1mm","143.2mm","118.1mm","143.775mm","T","270.00","Yageo CC0603JRNPO9BN220"
"1PPS","VISH-LED0603-2_V","134.6mm","122.5mm","134.6mm","122.5mm","134.6mm","123.25mm","T","270.00","Vishay VLMW1300-GS08"
"J1","PCB-qkngfwumds4pa5a4mwtz-1","139.5mm","127mm","139.5mm","127mm","140.77mm","142.875mm","B","270.00","Würth Elektronik 690357102672"
"J2","PCB-qkngfwumds4pa5a4mwtz-1","103mm","127mm","103mm","127mm","101.73mm","111.125mm","B","90.00","Würth Elektronik 690357102672"
"Q2","PCB-ziwija0k6kzehc3r3ytq-1","110.5mm","125.9mm","110.5mm","125.9mm","109.5mm","126.85mm","T","360.00","NPN"
"Q3","PCB-ziwija0k6kzehc3r3ytq-1","132.6mm","125.4mm","132.6mm","125.4mm","133.55mm","126.4mm","T","270.00","NPN"
"R15","PCB-12519960-1","118.1mm","139.1mm","118.1mm","139.1mm","118.1mm","138.375mm","T","90.00","Panasonic ERJPA3F22R0V"
"R11","RESC1608X55X25LL10T15","132.6mm","122.4mm","132.6mm","122.4mm","132.6mm","123.05mm","T","270.00","Yageo RC0603JR-0743RL"
"R4","RESC1608X05N","112mm","135.5mm","112mm","135.5mm","112mm","134.85mm","T","90.00","0 O"
"R14","RESC1608X55X25NL10T15","132.6mm","127.9mm","132.6mm","127.9mm","133.3mm","127.9mm","T","180.00","47k"
"R13","RESC1608X55X30ML15T15","132.6mm","129.6mm","132.6mm","129.6mm","131.875mm","129.6mm","T","360.00","4k7"
"R5","RESC1608X05N","131.5mm","133.8mm","131.5mm","133.8mm","131.5mm","133.15mm","T","90.00","0 O"
"R9","RESC1608X55X25LL10T15","111.5mm","122.9mm","111.5mm","122.9mm","111.5mm","123.55mm","T","270.00","Yageo RC0603JR-0743RL"
"R12","RESC1608X55X25NL10T15","108.1mm","125.9mm","108.1mm","125.9mm","108.1mm","126.6mm","T","270.00","47k"
"R10","RESC1608X55X30ML15T15","106.5mm","125.9mm","106.5mm","125.9mm","106.5mm","125.175mm","T","90.00","4k7"
"R7","RESC1608X55X25NL10T15","108.1mm","130mm","108.1mm","130mm","108.1mm","130.7mm","T","270.00","47k"
"R6","RESC1608X55X30ML15T15","106.5mm","130mm","106.5mm","130mm","106.5mm","129.275mm","T","90.00","4k7"
"DISPLAY","PCB-nzup0ao0a905uvbg1qqh-1","121.25mm","102.995mm","121.25mm","101.5mm","119.75mm","101.5mm","T","360.00","Molex 503763-0491"
"L2","PCB-hlv7urmwhwpu08v7waq3-1","111mm","147.5mm","111mm","147.5mm","111mm","148.35mm","T","270.00","Inductor"
"R20","RESC1608x55M","112.9mm","147.5mm","112.9mm","147.5mm","112.9mm","146.65mm","T","90.00","YAGEO RC0603JR-0710RL"
"GSM","PCB-xgsyl0rl4aodb56pqcq4-1","130.5mm","141mm","130.5mm","141mm","130.5mm","140.225mm","T","180.00","Hirose U.FL-R-SMT-1(10)"
"GPS","PCB-xgsyl0rl4aodb56pqcq4-1","112mm","141mm","112mm","141mm","112mm","140.225mm","T","180.00","Hirose U.FL-R-SMT-1(10)"
"CH1","PCB-xrqhdd8vohmcdf5jpup6-1","130.35mm","113mm","130.5mm","113mm","131.897mm","114.016mm","T","90.00","Binder 09 0416 90 05"
"PWR","PCB-cew32lc1id8viylqw7kc-1","112mm","113mm","112mm","113mm","113.1mm","111.9mm","T","90.00","Binder 09 0412 90 04"

